id,bpm,accuracy,time_ms,time_iso,synced
401,85.0,3,1783268031326,2026-07-05T23:13:51.326,1
402,85.0,3,1783268032325,2026-07-05T23:13:52.325,1
403,86.0,3,1783268033325,2026-07-05T23:13:53.325,1
404,85.0,3,1783268034325,2026-07-05T23:13:54.325,1
405,85.0,3,1783268035325,2026-07-05T23:13:55.325,1
406,85.0,3,1783268036325,2026-07-05T23:13:56.325,1
407,84.0,3,1783268037325,2026-07-05T23:13:57.325,1
408,84.0,3,1783268038327,2026-07-05T23:13:58.327,1
409,84.0,3,1783268039325,2026-07-05T23:13:59.325,1
410,83.0,3,1783268040327,2026-07-05T23:14:00.327,1
411,83.0,3,1783268041325,2026-07-05T23:14:01.325,1
412,83.0,3,1783268042326,2026-07-05T23:14:02.326,1
413,83.0,3,1783268043328,2026-07-05T23:14:03.328,1
414,83.0,3,1783268044325,2026-07-05T23:14:04.325,1
415,83.0,3,1783268045325,2026-07-05T23:14:05.325,1
416,83.0,3,1783268046327,2026-07-05T23:14:06.327,1
417,84.0,3,1783268047328,2026-07-05T23:14:07.328,1
418,85.0,3,1783268048329,2026-07-05T23:14:08.329,1
419,85.0,3,1783268049325,2026-07-05T23:14:09.325,1
420,85.0,3,1783268050327,2026-07-05T23:14:10.327,1
421,85.0,3,1783268051327,2026-07-05T23:14:11.327,1
422,85.0,3,1783268052328,2026-07-05T23:14:12.328,1
423,84.0,3,1783268053325,2026-07-05T23:14:13.325,1
424,84.0,3,1783268054327,2026-07-05T23:14:14.327,1
425,84.0,3,1783268055326,2026-07-05T23:14:15.326,1
426,84.0,3,1783268056326,2026-07-05T23:14:16.326,1
427,83.0,3,1783268057326,2026-07-05T23:14:17.326,1
428,83.0,3,1783268058325,2026-07-05T23:14:18.325,1
429,83.0,3,1783268059326,2026-07-05T23:14:19.326,1
430,83.0,3,1783268060326,2026-07-05T23:14:20.326,1
431,83.0,3,1783268061325,2026-07-05T23:14:21.325,1
432,83.0,3,1783268062327,2026-07-05T23:14:22.327,1
433,83.0,3,1783268063325,2026-07-05T23:14:23.325,1
434,83.0,3,1783268064325,2026-07-05T23:14:24.325,1
435,83.0,3,1783268065325,2026-07-05T23:14:25.325,1
436,83.0,3,1783268066325,2026-07-05T23:14:26.325,1
437,83.0,3,1783268067325,2026-07-05T23:14:27.325,1
438,83.0,3,1783268068325,2026-07-05T23:14:28.325,1
439,83.0,3,1783268069326,2026-07-05T23:14:29.326,1
440,83.0,3,1783268070326,2026-07-05T23:14:30.326,1
441,83.0,3,1783268071325,2026-07-05T23:14:31.325,1
442,83.0,3,1783268072325,2026-07-05T23:14:32.325,1
443,83.0,3,1783268073326,2026-07-05T23:14:33.326,1
444,83.0,3,1783268074325,2026-07-05T23:14:34.325,1
445,83.0,3,1783268075325,2026-07-05T23:14:35.325,1
446,84.0,3,1783268076325,2026-07-05T23:14:36.325,1
447,84.0,3,1783268077324,2026-07-05T23:14:37.324,1
